,Country Name,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
275,Brunei Darussalam,2019,13469235365.0,-3.334183376,1.364218514,84.71877054,6.6,-373256767.2
276,Cambodia,2019,27089390033.0,3.235371767,4061.148963,107.6557313,0.116,-3561195452.0
277,Timor-Leste,2019,2027034000.0,4.874096517,1.0,38.88754159,3.079,238994863.1
278,Indonesia,2019,1120000000000.0,1.5984885,14147.67136,38.76024384,3.59,-20531070566.0
279,Lao PDR,2019,18740559554.0,1.197423921,8679.409093,98.6512779569836,3.364,-755524124.2
280,Malaysia,2019,365000000000.0,0.071826909,4.142469736,122.9070528,3.26,-1626970695.0
281,Myanmar,2019,75072038086.0,5.422933005,1518.255117,56.10760612,0.41,-1735589413.0
282,Philippines,2019,377000000000.0,0.697076301,51.79578265,76.59717596,2.24,-5320429168.0
283,Singapore,2019,377000000000.0,-0.201648173,1.364158333,123.0468461,3.1,-39191638312.0
284,Thailand,2019,544000000000.0,1.014423406,31.04760578,123.3986339,0.72,4644836019.0
285,Viet Nam,2019,334000000000.0,2.423226942,23050.24167,112.5232876,1.68,-15635000000.0
